gender,marital,parenthood,country,age,category,total_moments,percent_category
m,single,y,USA,0,affection,9,55.56
m,single,y,USA,0,leisure,9,11.11
m,single,y,USA,0,bonding,9,0.0
m,single,y,USA,0,achievement,9,33.33
m,single,y,USA,0,enjoy_the_moment,9,0.0
m,single,y,USA,0,exercise,9,0.0
m,single,y,USA,0,nature,9,0.0
m,single,y,USA,10,affection,21,38.1
m,single,y,USA,10,leisure,21,4.76
m,single,y,USA,10,bonding,21,9.52
m,single,y,USA,10,achievement,21,28.57
m,single,y,USA,10,enjoy_the_moment,21,9.52
m,single,y,USA,10,exercise,21,9.52
m,single,y,USA,10,nature,21,0.0
m,single,y,USA,20,affection,627,33.65
m,single,y,USA,20,leisure,627,6.06
m,single,y,USA,20,bonding,627,8.45
m,single,y,USA,20,achievement,627,39.07
m,single,y,USA,20,enjoy_the_moment,627,9.25
m,single,y,USA,20,exercise,627,2.55
m,single,y,USA,20,nature,627,0.96
m,single,y,USA,30,affection,773,34.67
m,single,y,USA,30,leisure,773,6.86
m,single,y,USA,30,bonding,773,5.82
m,single,y,USA,30,achievement,773,37.39
m,single,y,USA,30,enjoy_the_moment,773,13.97
m,single,y,USA,30,exercise,773,0.39
m,single,y,USA,30,nature,773,0.91
m,single,y,USA,40,affection,198,31.31
m,single,y,USA,40,leisure,198,7.07
m,single,y,USA,40,bonding,198,16.16
m,single,y,USA,40,achievement,198,32.83
m,single,y,USA,40,enjoy_the_moment,198,9.09
m,single,y,USA,40,exercise,198,0.0
m,single,y,USA,40,nature,198,3.54
m,single,y,USA,50,affection,21,66.67
m,single,y,USA,50,leisure,21,0.0
m,single,y,USA,50,bonding,21,9.52
m,single,y,USA,50,achievement,21,23.81
m,single,y,USA,50,enjoy_the_moment,21,0.0
m,single,y,USA,50,exercise,21,0.0
m,single,y,USA,50,nature,21,0.0
m,single,y,USA,60,affection,3,100.0
m,single,y,USA,60,leisure,3,0.0
m,single,y,USA,60,bonding,3,0.0
m,single,y,USA,60,achievement,3,0.0
m,single,y,USA,60,enjoy_the_moment,3,0.0
m,single,y,USA,60,exercise,3,0.0
m,single,y,USA,60,nature,3,0.0
m,single,y,USA,70,affection,15,33.33
m,single,y,USA,70,leisure,15,0.0
m,single,y,USA,70,bonding,15,6.67
m,single,y,USA,70,achievement,15,60.0
m,single,y,USA,70,enjoy_the_moment,15,0.0
m,single,y,USA,70,exercise,15,0.0
m,single,y,USA,70,nature,15,0.0
m,single,y,USA,80,affection,0,0
m,single,y,USA,80,leisure,0,0
m,single,y,USA,80,bonding,0,0
m,single,y,USA,80,achievement,0,0
m,single,y,USA,80,enjoy_the_moment,0,0
m,single,y,USA,80,exercise,0,0
m,single,y,USA,80,nature,0,0
m,single,y,USA,90,affection,0,0
m,single,y,USA,90,leisure,0,0
m,single,y,USA,90,bonding,0,0
m,single,y,USA,90,achievement,0,0
m,single,y,USA,90,enjoy_the_moment,0,0
m,single,y,USA,90,exercise,0,0
m,single,y,USA,90,nature,0,0
m,single,y,IND,0,affection,0,0
m,single,y,IND,0,leisure,0,0
